"path","cc","bullet"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",100,"Br1 Bullet 1-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",100,"Br1 Bullet 1-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-3.x3p",100,"Br1 Bullet 1-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-4.x3p",125,"Br1 Bullet 1-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-5.x3p",100,"Br1 Bullet 1-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-6.x3p",100,"Br1 Bullet 1-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",100,"Br1 Bullet 2-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",175,"Br1 Bullet 2-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",200,"Br1 Bullet 2-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",150,"Br1 Bullet 2-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",125,"Br1 Bullet 2-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",100,"Br1 Bullet 2-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",200,"Br10 Bullet 1-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",175,"Br10 Bullet 1-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",350,"Br10 Bullet 1-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-4.x3p",175,"Br10 Bullet 1-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-5.x3p",200,"Br10 Bullet 1-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-6.x3p",200,"Br10 Bullet 1-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 2-1.x3p",150,"Br10 Bullet 2-1"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 2-2.x3p",200,"Br10 Bullet 2-2"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 2-3.x3p",125,"Br10 Bullet 2-3"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 2-4.x3p",150,"Br10 Bullet 2-4"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 2-5.x3p",250,"Br10 Bullet 2-5"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br10 Bullet 2-6.x3p",125,"Br10 Bullet 2-6"
"~/papers/2015-imaging-paper/app/images/Hamby252_3DX3P1of2//Br2 Bullet 1-1.x3p",150,"Br2 Bullet 1-1"
