"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","pred","forest","bullet"
"Ukn Bullet B-1","Br1 Bullet 1-1",0.3516006726091,306,1.30390583603554,1.68593847974137,100,125,4,34,19,4.46548240779332,2,"data-15-25/unkn1.RData",1,1,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-2",0.317182787338039,269,1.66694936960103,1.81472098494437,150,125,7,27,9,6.76404087812407,5,"data-15-25/unkn1.RData",86,32,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 2-4",0.14793313264163,395,1.87360408040332,2.39114780338368,550,125,5,45,30,2.41013044814791,3,"data-15-25/unkn1.RData",118,51,38,FALSE,0.00405087140838436,0.0446428571428571,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 2-4",0.315063471603071,235,2.79372183684848,2.18558695225205,125,125,3,26,12,2.59332516636814,2,"data-15-25/unkn1.RData",46,14,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-5",0.243993769372189,159,1.07697753527718,1.51227547977735,125,125,9,26,10,7.37803442816063,4,"data-15-25/unkn1.RData",59,39,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 2-4",0.23897818680616,223,0.670461472688971,1.25851006837429,150,125,3,35,22,2.6767480773667,2,"data-15-25/unkn1.RData",10,2,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 1-6",0.10177062703612,173,3.43869335570973,2.58317079354575,100,125,3,36,16,2.43153800927058,1,"data-15-25/unkn1.RData",6,6,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 2-4",0.313067393470475,212,4.09015080460959,2.66680811617492,150,125,5,27,23,3.31978697117839,3,"data-15-25/unkn1.RData",22,56,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 1-5",0.0560358045718713,177,0.694243678413819,1.17506930896974,225,125,12,22,12,6.97760589625954,4,"data-15-25/unkn1.RData",113,53,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 1-5",0.411154458018919,71,1.9023770404816,1.92769848396568,100,125,5,25,13,6.5198371507032,5,"data-15-25/unkn1.RData",5,5,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 1-2",0.302026376653575,289,0.611736815300325,1.24861490150168,100,125,9,30,6,4.37657464471118,3,"data-15-25/unkn1.RData",2,2,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-1",0.294614640722804,189,1.47755814848678,1.71929152646673,175,125,2,29,14,2.08846585301226,1,"data-15-25/unkn1.RData",55,41,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 2-2",0.160892838580444,12,1.33233642140051,1.68033800868513,200,125,7,27,13,5.68671067805089,2,"data-15-25/unkn1.RData",20,60,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 2-3",0.355887930105169,125,1.08531787836801,1.69742800585229,125,125,8,29,12,5.16707469251755,3,"data-15-25/unkn1.RData",33,8,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-2",0.299786980746572,75,1.33547634347685,1.8545978662755,150,125,5,34,13,3.68803986471364,3,"data-15-25/unkn1.RData",74,26,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 2-5",0.228186994851271,401,4.85305554106397,2.73496817192086,175,125,0,35,35,0,0,"data-15-25/unkn1.RData",47,15,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-4",0.272118086232667,170,1.48440677935362,1.7737613203264,100,125,5,27,14,4.4642013501574,2,"data-15-25/unkn1.RData",94,33,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-4",0.365538710065813,280,2.5222870055229,2.11502795799376,225,125,3,32,19,4.4597882416952,1,"data-15-25/unkn1.RData",82,25,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-2",0.326050056919354,102,5.2270913059061,2.86790793444727,175,125,4,27,19,7.48910817970083,2,"data-15-25/unkn1.RData",56,42,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-6",0.258793945075401,83,1.69063024032522,1.79866393273075,125,125,10,29,9,7.62709241416881,4,"data-15-25/unkn1.RData",78,30,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 1-5",0.295755937586565,172,1.54455904864944,1.73953655625505,100,125,2,32,27,1.26265366479784,1,"data-15-25/unkn1.RData",53,41,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 1-4",0.311430312316235,221,3.24172685636796,2.69192533329547,175,125,3,34,21,4.0162993238018,2,"data-15-25/unkn1.RData",16,58,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 1-1",0.423102550472989,204,1.51153134322234,1.80123624534586,150,125,9,22,8,9.41471431943184,3,"data-15-25/unkn1.RData",97,43,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 1-3",0.270567180953027,155,1.13174038944467,1.54983257657331,100,125,14,25,9,11.0299652097289,4,"data-15-25/unkn1.RData",51,39,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 1-1",0.273552379399217,226,0.685129696624362,1.29970123477582,200,125,5,25,20,4.04221045298983,4,"data-15-25/unkn1.RData",13,55,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 2-4",0.415245477590638,48,1.2837919783757,1.70156791887919,150,125,3,36,13,3.22060679021638,1,"data-15-25/unkn1.RData",70,20,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 1-3",0.310938752353375,117,1.61805108068105,1.75373231977795,125,125,5,34,10,4.24461379127794,2,"data-15-25/unkn1.RData",111,51,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 2-5",0.283508286898421,296,1.04256453653191,1.49404315850237,150,125,10,29,19,8.34602623182065,6,"data-15-25/unkn1.RData",35,10,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-4",0.228701927149198,367,3.91809169100985,2.40767789705634,325,125,4,39,20,2.39889766231353,2,"data-15-25/unkn1.RData",106,46,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 1-6",0.190739706513916,1,3.0592950102154,2.13916300425133,125,125,10,38,18,11.1435470680765,5,"data-15-25/unkn1.RData",30,12,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 1-4",0.232077956214379,288,1.5716831661112,1.72819295941272,150,125,2,27,18,3.04313237290575,1,"data-15-25/unkn1.RData",112,52,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-1",0.288153135504532,173,3.46462269852469,2.54770493305671,625,125,5,35,14,3.4300776375963,2,"data-15-25/unkn1.RData",79,28,38,FALSE,0.00405087140838436,0.0168067226890756,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 1-6",0.288633700595261,86,1.50707113916839,1.67635582207049,150,125,4,30,12,1.42956081663397,2,"data-15-25/unkn1.RData",66,24,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-5",0.344764181702923,65,1.30346919598037,1.65942357996954,175,125,5,36,17,2.24303310417891,4,"data-15-25/unkn1.RData",83,26,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 1-4",0.271503502555548,393,1.05953796763942,1.46793062762389,125,125,3,32,26,4.35783869803112,3,"data-15-25/unkn1.RData",4,4,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 2-3",0.346403771243591,106,6.89737142702201,3.38755036618673,200,125,2,42,29,3.85451640039969,1,"data-15-25/unkn1.RData",9,1,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 2-1",0.337314397680218,134,2.14657262530034,2.01289172332701,175,125,4,30,11,5.92781711248631,2,"data-15-25/unkn1.RData",43,17,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 1-1",0.341284656618476,317,1.28453135809362,1.6547511081605,150,125,12,32,11,10.5107347776486,7,"data-15-25/unkn1.RData",25,7,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
