"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","span","pred","forest"
"Ukn Bullet B-1","Br5 Bullet 1-4",0.210328337061975,242,1.47425393025928,1.67414899429502,150,125,0,19,19,0,0,"data-20-25/unkn1.RData",64,22,38,FALSE,20,0.00468911188220951,0.00892857142857143
"Ukn Bullet B-1","Br7 Bullet 1-6",0.419087106213778,43,0.394963040782029,1.10647383846936,100,125,5,33,16,2.96803472776613,2,"data-20-25/unkn1.RData",90,36,38,FALSE,20,0.00468911188220951,0.016
"Ukn Bullet B-1","Br3 Bullet 1-1",0.351396689694637,119,0.903835345289913,1.45813150396399,175,125,7,21,11,5.38628015245632,5,"data-20-25/unkn1.RData",37,13,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br5 Bullet 1-3",0.249452996912928,46,1.49392436443375,1.74751192979217,100,125,4,31,21,4.75288971703617,2,"data-20-25/unkn1.RData",63,21,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 2-1",0.266151557691074,110,0.967835711671403,1.52251914237691,150,125,2,28,26,2.21280113443491,2,"data-20-25/unkn1.RData",19,59,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 2-1",0.471469623838844,203,1.99482077621729,2.01656448510287,225,125,7,17,7,9.24360177631871,2,"data-20-25/unkn1.RData",103,43,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 1-2",0.224916169734494,163,3.84145836243502,2.42818055025539,125,125,7,21,12,8.00895270149963,2,"data-20-25/unkn1.RData",98,44,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br6 Bullet 2-2",0.395267293350976,64,1.55034270524168,1.75096510640281,200,125,11,23,10,6.97075375800032,5,"data-20-25/unkn1.RData",80,29,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 2-2",0.27166264167123,43,3.52032601136199,2.35340098962686,175,125,4,29,14,4.43164052249352,2,"data-20-25/unkn1.RData",104,44,38,FALSE,20,0.00468911188220951,0.0087719298245614
"Ukn Bullet B-1","Br6 Bullet 2-1",0.288153135504571,173,3.46462269852468,2.5477049330567,625,125,7,29,17,4.50940829838526,4,"data-20-25/unkn1.RData",79,28,38,FALSE,20,0.00468911188220951,0.0505050505050505
"Ukn Bullet B-1","Br9 Bullet 2-2",0.3806784443601,399,2.61887038258023,2.24460547576092,175,125,4,24,10,4.72868174486387,2,"data-20-25/unkn1.RData",116,49,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 1-4",0.243772777443124,131,1.97928145488829,2.00453705046044,175,125,3,23,10,3.09108686598347,2,"data-20-25/unkn1.RData",100,46,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br9 Bullet 2-4",0.147933132641693,395,1.87360408040318,2.39114780338364,550,125,5,33,15,2.69029545342557,3,"data-20-25/unkn1.RData",118,51,38,FALSE,20,0.00468911188220951,0.00917431192660551
"Ukn Bullet B-1","Br9 Bullet 1-2",0.407378869206073,183,8.41347366742442,3.50317414622132,175,125,0,24,24,0,0,"data-20-25/unkn1.RData",110,50,38,FALSE,20,0.00468911188220951,0.0104166666666667
"Ukn Bullet B-1","Br5 Bullet 2-5",0.246435294432398,40,1.31139605520569,1.67926137624784,125,125,4,30,14,4.3142979340873,2,"data-20-25/unkn1.RData",71,21,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br7 Bullet 1-4",0.158091401180397,25,2.59943602952824,2.03546088767139,125,125,1,27,22,0.878776248909851,1,"data-20-25/unkn1.RData",88,34,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 1-1",0.384545759998407,46,1.96908999579629,2.02260365295829,125,125,4,30,16,5.80852719363147,3,"data-20-25/unkn1.RData",49,37,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br7 Bullet 2-5",0.227399228849237,136,4.17699468436286,2.87386999452668,125,125,4,21,8,4.10821793688328,1,"data-20-25/unkn1.RData",95,34,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 2-1",0.449654858823201,88,1.46831911663285,1.80486889002933,100,125,4,24,15,4.15822480719855,4,"data-20-25/unkn1.RData",7,5,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 2-5",0.28350828689831,296,1.04256453653206,1.49404315850239,150,125,9,24,16,7.91166638424568,6,"data-20-25/unkn1.RData",35,10,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 1-6",0.18958650706162,10,1.58651323392367,1.81311801890227,200,125,3,24,15,1.49741847258275,2,"data-20-25/unkn1.RData",18,60,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 1-3",0.349768927972189,398,1.20791674100347,1.62416838351952,150,125,10,19,7,7.96603580595862,4,"data-20-25/unkn1.RData",27,9,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 1-6",0.101770627036231,173,3.43869335570947,2.58317079354573,100,125,2,33,21,0.925053546990777,2,"data-20-25/unkn1.RData",6,6,38,FALSE,20,0.00468911188220951,0.0247933884297521
"Ukn Bullet B-1","Br3 Bullet 1-5",0.407009861457512,122,1.66257449042507,1.91630804363566,125,125,8,22,7,8.99208586454675,3,"data-20-25/unkn1.RData",41,17,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br6 Bullet 1-5",0.30211162661912,54,1.70994882724951,1.76963210410278,125,125,8,27,12,7.02339869449932,3,"data-20-25/unkn1.RData",77,29,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br6 Bullet 2-3",0.192574793357908,83,2.27700027050908,2.49465768632721,200,125,2,32,22,1.20262463737481,2,"data-20-25/unkn1.RData",81,30,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 1-2",0.880648251166885,202,0.043042747680785,0.885993998026115,125,125,21,16,8,8.6909714572685,8,"data-20-25/unkn1.RData",50,38,38,TRUE,20,1,0.932203389830508
"Ukn Bullet B-1","Br6 Bullet 1-1",0.277758386581849,309,5.38857284391801,2.82541502068589,175,125,4,25,10,4.67580448011257,2,"data-20-25/unkn1.RData",73,25,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 2-4",0.228701927149142,367,3.91809169101004,2.40767789705632,325,125,3,30,17,2.1412323397909,2,"data-20-25/unkn1.RData",106,46,38,FALSE,20,0.00468911188220951,0.0185185185185185
"Ukn Bullet B-1","Br10 Bullet 1-5",0.28386540151752,315,1.13928365558655,1.55237798077224,200,125,6,23,7,5.98477154731894,2,"data-20-25/unkn1.RData",17,59,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br6 Bullet 2-5",0.344764181702873,65,1.30346919598029,1.65942357996949,175,125,4,24,12,2.49243932911832,2,"data-20-25/unkn1.RData",83,26,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br9 Bullet 1-3",0.310938752353413,117,1.61805108068094,1.75373231977789,125,125,5,27,16,5.56834353182181,4,"data-20-25/unkn1.RData",111,51,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br7 Bullet 2-6",0.25713347608914,304,0.728818186870163,1.38120990640949,100,125,3,27,18,1.49590818464877,2,"data-20-25/unkn1.RData",96,35,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br7 Bullet 2-3",0.229167695892471,267,2.96045325802289,2.21806054350466,150,125,8,23,10,5.87723544051513,2,"data-20-25/unkn1.RData",93,32,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 1-6",0.190739706514026,1,3.05929501021532,2.13916300425132,125,125,7,31,11,8.10409916505814,4,"data-20-25/unkn1.RData",30,12,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br9 Bullet 2-6",0.239299832749838,180,0.545869644822517,1.14052396221346,175,125,11,20,9,7.9251025146523,4,"data-20-25/unkn1.RData",120,53,38,FALSE,20,0.00468911188220951,0.00892857142857143
"Ukn Bullet B-1","Br2 Bullet 2-6",0.284274991564945,288,1.3195042852064,1.81692028624077,175,125,4,27,8,3.36351706997398,1,"data-20-25/unkn1.RData",36,11,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 1-5",0.411154458018939,71,1.90237704048151,1.92769848396566,100,125,4,24,15,4.5634096974074,4,"data-20-25/unkn1.RData",5,5,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br7 Bullet 2-1",0.460577706082802,37,0.439671610309881,1.17808098902601,150,125,8,28,11,6.86145181043265,4,"data-20-25/unkn1.RData",91,36,38,FALSE,20,0.00468911188220951,0.0087719298245614
"Ukn Bullet B-1","Br7 Bullet 2-2",0.329174365378182,374,1.62812530529591,1.76310479724732,200,125,4,19,13,3.43220283957786,4,"data-20-25/unkn1.RData",92,31,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br3 Bullet 2-1",0.337314397680174,134,2.14657262530021,2.01289172332695,175,125,1,30,24,2.02579969539765,1,"data-20-25/unkn1.RData",43,17,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br5 Bullet 1-2",0.452604567399959,49,1.62678438450038,1.84664631466229,150,125,2,33,18,2.70945406952907,1,"data-20-25/unkn1.RData",62,20,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 2-2",0.160892838580491,12,1.33233642140056,1.68033800868517,200,125,8,21,5,6.94904889399203,2,"data-20-25/unkn1.RData",20,60,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 1-6",0.283978088262905,222,0.909999114655093,1.4246502095211,125,125,11,17,6,5.75840062976788,6,"data-20-25/unkn1.RData",102,48,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 2-3",0.269072360269749,158,3.28352746009947,2.66967413048947,250,125,3,19,8,5.99296414442394,1,"data-20-25/unkn1.RData",105,45,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br5 Bullet 2-4",0.415245477590661,48,1.28379197837569,1.70156791887919,150,125,3,32,13,3.47969476164845,1,"data-20-25/unkn1.RData",70,20,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br7 Bullet 1-5",0.204070590433592,146,2.58979318534661,2.49080871608747,175,125,4,21,16,2.90674920557663,2,"data-20-25/unkn1.RData",89,35,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 2-6",0.281253201176533,227,3.82205916761059,2.44613830692867,100,125,11,17,7,12.5636105096935,6,"data-20-25/unkn1.RData",108,48,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br5 Bullet 1-1",0.139441733612756,266,1.00799863491914,1.39353885768697,150,125,4,29,13,2.40885773889739,2,"data-20-25/unkn1.RData",61,19,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 2-3",0.355887930105236,125,1.08531787836786,1.69742800585227,125,125,10,22,6,8.5789146031276,4,"data-20-25/unkn1.RData",33,8,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 1-5",0.258742424952806,283,1.1137327538763,1.55718573090436,100,125,2,28,26,1.28668286820962,1,"data-20-25/unkn1.RData",101,47,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 2-1",0.294614640722837,189,1.47755814848667,1.7192915264667,175,125,4,21,10,4.29965336629858,1,"data-20-25/unkn1.RData",55,41,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br3 Bullet 2-4",0.315063471603081,235,2.79372183684842,2.18558695225202,125,125,3,20,10,2.5493584362409,1,"data-20-25/unkn1.RData",46,14,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 2-4",0.71878203004532,204,0.135994672435515,0.931860707070302,175,125,16,12,6,8.00038004866522,8,"data-20-25/unkn1.RData",58,38,38,TRUE,20,1,0.710743801652893
"Ukn Bullet B-1","Br3 Bullet 2-2",0.194306741905862,75,0.77137064655959,1.27385250741803,175,125,3,32,14,2.83241163840612,2,"data-20-25/unkn1.RData",44,18,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 2-2",0.322508313454735,341,3.30709135442497,2.26949878357819,150,125,5,29,10,2.18521248373867,1,"data-20-25/unkn1.RData",32,7,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 2-3",0.164943503550541,64,0.705201020120022,1.20276208443353,125,125,7,27,14,6.41118260449337,4,"data-20-25/unkn1.RData",21,55,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br7 Bullet 1-3",0.188786159649806,150,2.24887210297983,2.06131170673803,200,125,8,30,13,4.52504264566491,3,"data-20-25/unkn1.RData",87,33,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br9 Bullet 1-5",0.0560358045719268,177,0.694243678413732,1.1750693089697,225,125,10,20,10,5.73023764287659,6,"data-20-25/unkn1.RData",113,53,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br6 Bullet 1-3",0.307484281634179,130,1.11393326342068,1.55299966171093,225,125,2,32,27,1.34583718352656,1,"data-20-25/unkn1.RData",75,27,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br3 Bullet 1-2",0.325430004774112,243,2.03100526547643,1.91525196627128,125,125,2,18,9,2.08047304887404,1,"data-20-25/unkn1.RData",38,14,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br6 Bullet 1-2",0.299786980746537,75,1.33547634347689,1.85459786627546,150,125,4,24,12,2.93803445812304,3,"data-20-25/unkn1.RData",74,26,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br3 Bullet 2-3",0.418171113110595,117,0.912851405840575,1.49984140899342,175,125,7,23,8,5.37395640955139,2,"data-20-25/unkn1.RData",45,13,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 1-2",0.401224343788844,108,1.39631831770074,1.89648928386563,150,125,12,18,6,10.4753392604157,5,"data-20-25/unkn1.RData",26,8,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br3 Bullet 1-4",0.1937818320359,161,7.619222861277,3.21045104841556,350,125,6,27,20,3.21604870814712,2,"data-20-25/unkn1.RData",40,16,38,FALSE,20,0.00468911188220951,0.0540540540540541
