"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.nonmatches","CNMS","S","CMS","data","resID","id.x","id.y","match","span","pred","forest","flagged","bullet"
"Ukn Bullet B-1","Br5 Bullet 1-4",0.210328337061975,242,1.47425393025928,1.67414899429502,150,125,1,15,12,0.826761244751353,1,"data-25-25/unkn1.RData",64,22,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-6",0.419087106213778,43,0.394963040782029,1.10647383846936,100,125,4,28,13,1.92731977396032,2,"data-25-25/unkn1.RData",90,36,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 1-1",0.351396689694637,119,0.903835345289913,1.45813150396399,175,125,6,21,11,5.44590177443603,3,"data-25-25/unkn1.RData",37,13,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 1-3",0.249452996912928,46,1.49392436443375,1.74751192979217,100,125,6,26,12,6.38361669055843,3,"data-25-25/unkn1.RData",63,21,38,FALSE,25,0.00323624595469256,0.00333333333333333,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 2-1",0.266151557691074,110,0.967835711671403,1.52251914237691,150,125,4,21,9,4.35555993813775,2,"data-25-25/unkn1.RData",19,59,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-1",0.471469623838844,203,1.99482077621729,2.01656448510287,225,125,9,15,7,11.1036399221988,3,"data-25-25/unkn1.RData",103,43,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 1-2",0.224916169734494,163,3.84145836243502,2.42818055025539,125,125,3,20,12,3.98132519236999,1,"data-25-25/unkn1.RData",98,44,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-2",0.395267293350976,64,1.55034270524168,1.75096510640281,200,125,14,18,10,9.52518340893908,9,"data-25-25/unkn1.RData",80,29,38,FALSE,25,0.00323624595469256,0.0333333333333333,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-2",0.27166264167123,43,3.52032601136199,2.35340098962686,175,125,7,22,6,6.87940958769586,2,"data-25-25/unkn1.RData",104,44,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-1",0.288153135504571,173,3.46462269852468,2.5477049330567,625,125,6,22,11,3.34196174322892,3,"data-25-25/unkn1.RData",79,28,38,FALSE,25,0.00323624595469256,NA,TRUE,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 2-2",0.3806784443601,399,2.61887038258023,2.24460547576092,175,125,4,25,14,5.28995222756542,2,"data-25-25/unkn1.RData",116,49,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 1-4",0.243772777443124,131,1.97928145488829,2.00453705046044,175,125,2,21,10,2.41769975538425,1,"data-25-25/unkn1.RData",100,46,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 2-4",0.147933132641693,395,1.87360408040318,2.39114780338364,550,125,5,29,10,2.67316555176418,2,"data-25-25/unkn1.RData",118,51,38,FALSE,25,0.00323624595469256,NA,TRUE,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 1-2",0.407378869206073,183,8.41347366742442,3.50317414622132,175,125,1,18,12,0.845176031161145,1,"data-25-25/unkn1.RData",110,50,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 2-5",0.246435294432398,40,1.31139605520569,1.67926137624784,125,125,3,26,11,2.69870043118053,1,"data-25-25/unkn1.RData",71,21,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-4",0.158091401180397,25,2.59943602952824,2.03546088767139,125,125,2,20,9,1.4161086238131,1,"data-25-25/unkn1.RData",88,34,38,FALSE,25,0.00323624595469256,0.0266666666666667,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 1-1",0.384545759998407,46,1.96908999579629,2.02260365295829,125,125,0,25,25,0,0,"data-25-25/unkn1.RData",49,37,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-5",0.227399228849237,136,4.17699468436286,2.87386999452668,125,125,4,22,11,3.26983412986393,2,"data-25-25/unkn1.RData",95,34,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 2-1",0.449654858823201,88,1.46831911663285,1.80486889002933,100,125,4,16,8,3.97410860436107,4,"data-25-25/unkn1.RData",7,5,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 2-5",0.28350828689831,296,1.04256453653206,1.49404315850239,150,125,3,24,18,2.68275840621943,3,"data-25-25/unkn1.RData",35,10,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 1-6",0.18958650706162,10,1.58651323392367,1.81311801890227,200,125,3,17,9,1.45773741401779,1,"data-25-25/unkn1.RData",18,60,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 1-3",0.349768927972189,398,1.20791674100347,1.62416838351952,150,125,8,19,7,5.99090316303911,2,"data-25-25/unkn1.RData",27,9,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 1-6",0.101770627036231,173,3.43869335570947,2.58317079354573,100,125,5,22,11,2.75956416640328,5,"data-25-25/unkn1.RData",6,6,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
