"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sumpeaks","data","resID","id.x","id.y","match","span","forest"
"Ukn Bullet B-1","Br1 Bullet 1-1",0.3516006726091,306,1.30390583603554,1.68593847974137,100,125,2,17,1,0,9,0,0,5,3,1.39977989586556,"data-new-25-25/unkn1.RData",1,1,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 1-2",0.317182787338039,269,1.66694936960103,1.81472098494437,150,125,6,20,4,2,11,0,0,5,4,4.99138848866392,"data-new-25-25/unkn1.RData",86,32,38,FALSE,25,0
"Ukn Bullet B-1","Br9 Bullet 2-4",0.14793313264163,395,1.87360408040332,2.39114780338368,550,125,5,29,2,1,10,0,0,10,9,2.67316555176454,"data-new-25-25/unkn1.RData",118,51,38,FALSE,25,0.0384615384615385
"Ukn Bullet B-1","Br3 Bullet 2-4",0.315063471603071,235,2.79372183684848,2.18558695225205,125,125,3,16,1,1,6,0,0,4,6,2.75497329621943,"data-new-25-25/unkn1.RData",46,14,38,FALSE,25,0
"Ukn Bullet B-1","Br4 Bullet 2-5",0.243993769372189,159,1.07697753527718,1.51227547977735,125,125,12,15,5,3,5,0,0,2,1,7.00686791203358,"data-new-25-25/unkn1.RData",59,39,38,FALSE,25,0
"Ukn Bullet B-1","Br1 Bullet 2-4",0.23897818680616,223,0.670461472688971,1.25851006837429,150,125,6,18,2,1,9,0,0,1,9,3.62120048038378,"data-new-25-25/unkn1.RData",10,2,38,FALSE,25,0
"Ukn Bullet B-1","Br1 Bullet 1-6",0.10177062703612,173,3.43869335570973,2.58317079354575,100,125,5,22,5,2,11,0,0,11,11,2.7595641664034,"data-new-25-25/unkn1.RData",6,6,38,FALSE,25,0
"Ukn Bullet B-1","Br10 Bullet 2-4",0.313067393470475,212,4.09015080460959,2.66680811617492,150,125,1,21,1,0,19,0,0,19,2,0.600199515989473,"data-new-25-25/unkn1.RData",22,56,38,FALSE,25,0
"Ukn Bullet B-1","Br9 Bullet 1-5",0.0560358045718713,177,0.694243678413819,1.17506930896974,225,125,7,16,2,1,9,0,0,2,1,3.35356568541184,"data-new-25-25/unkn1.RData",113,53,38,FALSE,25,0
"Ukn Bullet B-1","Br1 Bullet 1-5",0.411154458018919,71,1.9023770404816,1.92769848396568,100,125,5,19,4,2,10,0,0,7,10,4.69205318583626,"data-new-25-25/unkn1.RData",5,5,38,FALSE,25,0
"Ukn Bullet B-1","Br1 Bullet 1-2",0.302026376653575,289,0.611736815300325,1.24861490150168,100,125,5,24,2,1,15,0,0,3,15,2.36681024283369,"data-new-25-25/unkn1.RData",2,2,38,FALSE,25,0
"Ukn Bullet B-1","Br4 Bullet 2-1",0.294614640722804,189,1.47755814848678,1.71929152646673,175,125,3,17,1,1,11,0,0,1,1,2.19193032451686,"data-new-25-25/unkn1.RData",55,41,38,FALSE,25,0
"Ukn Bullet B-1","Br10 Bullet 2-2",0.160892838580444,12,1.33233642140051,1.68033800868513,200,125,8,19,4,2,8,0,0,8,4,6.67787698822666,"data-new-25-25/unkn1.RData",20,60,38,FALSE,25,0
"Ukn Bullet B-1","Br2 Bullet 2-3",0.355887930105169,125,1.08531787836801,1.69742800585229,125,125,11,15,4,2,6,0,0,6,3,8.03775078497661,"data-new-25-25/unkn1.RData",33,8,38,FALSE,25,0
"Ukn Bullet B-1","Br6 Bullet 1-2",0.299786980746572,75,1.33547634347685,1.8545978662755,150,125,4,24,3,2,12,0,0,12,7,2.63840562614129,"data-new-25-25/unkn1.RData",74,26,38,FALSE,25,0
"Ukn Bullet B-1","Br3 Bullet 2-5",0.228186994851271,401,4.85305554106397,2.73496817192086,175,125,1,28,1,0,17,0,0,17,11,1.41249935446557,"data-new-25-25/unkn1.RData",47,15,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 2-4",0.272118086232667,170,1.48440677935362,1.7737613203264,100,125,3,21,1,1,11,0,1,8,0,4.46462398917708,"data-new-25-25/unkn1.RData",94,33,38,FALSE,25,0
"Ukn Bullet B-1","Br6 Bullet 2-4",0.365538710065813,280,2.5222870055229,2.11502795799376,225,125,9,20,3,2,6,0,0,6,1,10.8037436471501,"data-new-25-25/unkn1.RData",82,25,38,FALSE,25,0
"Ukn Bullet B-1","Br4 Bullet 2-2",0.326050056919354,102,5.2270913059061,2.86790793444727,175,125,2,21,1,1,13,0,0,6,13,5.10917682580687,"data-new-25-25/unkn1.RData",56,42,38,FALSE,25,0
"Ukn Bullet B-1","Br6 Bullet 1-6",0.258793945075401,83,1.69063024032522,1.79866393273075,125,125,3,25,2,1,13,0,0,13,3,3.75379927585293,"data-new-25-25/unkn1.RData",78,30,38,FALSE,25,0
"Ukn Bullet B-1","Br4 Bullet 1-5",0.295755937586565,172,1.54455904864944,1.73953655625505,100,125,3,20,1,1,10,0,0,2,2,3.49083054987009,"data-new-25-25/unkn1.RData",53,41,38,FALSE,25,0
"Ukn Bullet B-1","Br10 Bullet 1-4",0.311430312316235,221,3.24172685636796,2.69192533329547,175,125,4,21,4,2,14,0,0,7,14,2.92016036191698,"data-new-25-25/unkn1.RData",16,58,38,FALSE,25,0
"Ukn Bullet B-1","Br8 Bullet 1-1",0.423102550472989,204,1.51153134322234,1.80123624534586,150,125,11,14,3,2,7,1,2,0,0,10.2398095917085,"data-new-25-25/unkn1.RData",97,43,38,FALSE,25,0
"Ukn Bullet B-1","Br4 Bullet 1-3",0.270567180953027,155,1.13174038944467,1.54983257657331,100,125,9,16,5,3,11,0,0,2,1,4.06149373690723,"data-new-25-25/unkn1.RData",51,39,38,FALSE,25,0
"Ukn Bullet B-1","Br10 Bullet 1-1",0.273552379399217,226,0.685129696624362,1.29970123477582,200,125,4,21,2,1,13,0,2,5,0,3.34430948781095,"data-new-25-25/unkn1.RData",13,55,38,FALSE,25,0
"Ukn Bullet B-1","Br5 Bullet 2-4",0.415245477590638,48,1.2837919783757,1.70156791887919,150,125,7,24,3,1,11,0,0,11,3,5.58118644976603,"data-new-25-25/unkn1.RData",70,20,38,FALSE,25,0
"Ukn Bullet B-1","Br9 Bullet 1-3",0.310938752353375,117,1.61805108068105,1.75373231977795,125,125,6,20,3,2,11,0,0,5,3,5.79041899718576,"data-new-25-25/unkn1.RData",111,51,38,FALSE,25,0
"Ukn Bullet B-1","Br2 Bullet 2-5",0.283508286898421,296,1.04256453653191,1.49404315850237,150,125,3,24,3,1,18,0,0,6,18,2.68275840621984,"data-new-25-25/unkn1.RData",35,10,38,FALSE,25,0
"Ukn Bullet B-1","Br8 Bullet 2-4",0.228701927149198,367,3.91809169100985,2.40767789705634,325,125,3,30,1,1,15,0,0,15,9,4.19224461158818,"data-new-25-25/unkn1.RData",106,46,38,FALSE,25,0.0882352941176471
"Ukn Bullet B-1","Br2 Bullet 1-6",0.190739706513916,1,3.0592950102154,2.13916300425133,125,125,7,21,4,2,7,0,0,7,6,9.01849124170932,"data-new-25-25/unkn1.RData",30,12,38,FALSE,25,0
"Ukn Bullet B-1","Br9 Bullet 1-4",0.232077956214379,288,1.5716831661112,1.72819295941272,150,125,2,20,2,1,12,0,0,8,12,1.78061277920311,"data-new-25-25/unkn1.RData",112,52,38,FALSE,25,0
