Br1 Bullet 1-1,Br1 Bullet 2-3,F-1,C-5,
Br1 Bullet 1-2,Br1 Bullet 2-4,F-2,C-6,
Br1 Bullet 1-3,Br1 Bullet 2-5,F-3,C-1,
Br1 Bullet 1-4,Br1 Bullet 2-6,F-4,C-2,
Br1 Bullet 1-5,Br1 Bullet 2-1,F-5,C-3,
Br1 Bullet 1-6,Br1 Bullet 2-2,F-6,C-4,
Br2 Bullet 1-1,Br2 Bullet 2-2,H-5,,
Br2 Bullet 1-2,Br2 Bullet 2-3,H-6,,
Br2 Bullet 1-3,Br2 Bullet 2-4,H-1,,
Br2 Bullet 1-4,Br2 Bullet 2-5,H-2,,
Br2 Bullet 1-5,Br2 Bullet 2-6,H-3,,
Br2 Bullet 1-6,Br2 Bullet 2-1,H-4,,
Br3 Bullet 1-1,Br3 Bullet 2-3,X-6,S-1,
Br3 Bullet 1-2,Br3 Bullet 2-4,X-1,S-2,
Br3 Bullet 1-3,Br3 Bullet 2-5,X-2,S-3,
Br3 Bullet 1-4,Br3 Bullet 2-6,X-3,S-4,
Br3 Bullet 1-5,Br3 Bullet 2-1,X-4,S-5,
Br3 Bullet 1-6,Br3 Bullet 2-2,X-5,S-6,
Br5 Bullet 1-1,Br5 Bullet 2-3,D-3,Z-2,
Br5 Bullet 1-2,Br5 Bullet 2-4,D-4,Z-3,
Br5 Bullet 1-3,Br5 Bullet 2-5,D-5,Z-4,
Br5 Bullet 1-4,Br5 Bullet 2-6,D-6,Z-5,
Br5 Bullet 1-5,Br5 Bullet 2-1,D-1,Z-6,
Br5 Bullet 1-6,Br5 Bullet 2-2,D-2,Z-1,
Br6 Bullet 1-1,Br6 Bullet 2-4,M-6,E-4,Y-1
Br6 Bullet 1-2,Br6 Bullet 2-5,M-1,E-5,Y-2
Br6 Bullet 1-3,Br6 Bullet 2-6,M-2,E-6,Y-3
Br6 Bullet 1-4,Br6 Bullet 2-1,M-3,E-1,Y-4
Br6 Bullet 1-5,Br6 Bullet 2-2,M-4,E-2,Y-5
Br6 Bullet 1-6,Br6 Bullet 2-3,M-5,E-3,Y-6
Br7 Bullet 1-1,Br7 Bullet 2-2,J-2,,
Br7 Bullet 1-2,Br7 Bullet 2-3,J-3,,
Br7 Bullet 1-3,Br7 Bullet 2-4,J-4,,
Br7 Bullet 1-4,Br7 Bullet 2-5,J-5,,
Br7 Bullet 1-5,Br7 Bullet 2-6,J-6,,
Br7 Bullet 1-6,Br7 Bullet 2-1,J-1,,
Br4 Bullet 1-1,Br4 Bullet 2-3,B-6,,
Br4 Bullet 1-2,Br4 Bullet 2-4,B-1,,
Br4 Bullet 1-3,Br4 Bullet 2-5,B-2,,
Br4 Bullet 1-4,Br4 Bullet 2-6,B-3,,
Br4 Bullet 1-5,Br4 Bullet 2-1,B-4,,
Br4 Bullet 1-6,Br4 Bullet 2-2,B-5,,
Br8 Bullet 1-1,Br8 Bullet 2-1,L-1,,
Br8 Bullet 1-2,Br8 Bullet 2-2,L-2,,
Br8 Bullet 1-3,Br8 Bullet 2-3,L-3,,
Br8 Bullet 1-4,Br8 Bullet 2-4,L-4,,
Br8 Bullet 1-5,Br8 Bullet 2-5,L-5,,
Br8 Bullet 1-6,Br8 Bullet 2-6,L-6,,
Br9 Bullet 1-1,Br9 Bullet 2-2,U-6,,
Br9 Bullet 1-2,Br9 Bullet 2-3,U-1,,
Br9 Bullet 1-3,Br9 Bullet 2-4,U-2,,
Br9 Bullet 1-4,Br9 Bullet 2-5,U-3,,
Br9 Bullet 1-5,Br9 Bullet 2-6,U-4,,
Br9 Bullet 1-6,Br9 Bullet 2-1,U-5,,
Br10 Bullet 1-1,Br10 Bullet 2-3,Q-6,,
Br10 Bullet 1-2,Br10 Bullet 2-4,Q-1,,
Br10 Bullet 1-3,Br10 Bullet 2-5,Q-2,,
Br10 Bullet 1-4,Br10 Bullet 2-6,Q-3,,
Br10 Bullet 1-5,Br10 Bullet 2-1,Q-4,,
Br10 Bullet 1-6,Br10 Bullet 2-2,Q-5,,
